0	1	0	0	0	0.030674847	0.147239264	0.134969325
0	1	0	1	0.030674847	0.147239264	0.839285714	0.233128834
0	1	1	0	0.147239264	0.134969325	0.233128834	0.36809816
0	1	1	1	0.134969325	0.233128834	0.36809816	0.208588957
1	0	0	0	0.233128834	0.36809816	0.208588957	0.245398773
1	0	0	1	0.36809816	0.208588957	0.245398773	0.521472393
1	0	1	0	0.208588957	0.245398773	0.521472393	0.644171779
1	0	1	1	0.245398773	0.521472393	0.644171779	1
1	1	0	0	0.521472393	0.644171779	1	0.490797546
0	0	0	1	0.644171779	1	0.490797546	0
0	0	1	0	1	0.490797546	0	0.030674847
0	0	1	1	0.490797546	0	0.030674847	0.159509202
0	1	0	0	0	0.030674847	0.159509202	0.245398773
0	1	0	1	0.030674847	0.159509202	0.245398773	0.306748466
0	1	1	0	0.159509202	0.245398773	0.306748466	0.325153374
0	1	1	1	0.245398773	0.306748466	0.325153374	0.153374233
1	0	0	0	0.306748466	0.325153374	0.153374233	0.208588957
1	0	0	1	0.325153374	0.153374233	0.208588957	0.45398773
1	0	1	0	0.153374233	0.208588957	0.45398773	0.521472393
1	0	1	1	0.208588957	0.45398773	0.521472393	0.82208589
1	1	0	0	0.45398773	0.521472393	0.82208589	0.705521472
0	0	0	1	0.521472393	0.82208589	0.705521472	0
0	0	1	0	0.82208589	0.705521472	0	0.030674847
0	0	1	1	0.705521472	0	0.030674847	0.245398773
0	1	0	0	0	0.030674847	0.245398773	0.334355828
0	1	0	1	0.030674847	0.245398773	0.334355828	0.340490798
0	1	1	0	0.245398773	0.334355828	0.340490798	0.36809816
0	1	1	1	0.334355828	0.340490798	0.36809816	0.306748466
1	0	0	0	0.340490798	0.36809816	0.306748466	0.245398773
1	0	0	1	0.36809816	0.306748466	0.245398773	0.45398773
1	0	1	0	0.306748466	0.245398773	0.45398773	0.576687117
1	0	1	1	0.245398773	0.45398773	0.576687117	0.766871166
1	1	0	0	0.45398773	0.576687117	0.766871166	0.521472393
